name,rating,rating_count,company_type,Head_Quarters,No_of_Job,reviews
Cloudnine Hospital,4.5,(4k),Healthcare,Bengaluru +46 other locations,33,4k
Pidilite Industries,4.2,(4k),Chemicals,Mumbai +322 other locations,17,4k
Grasim Industries,4.0,(4k),Building Material,Bharuch +263 other locations,3,4k
Aditya Birla Sun Life Insurance,4.0,(4k),Insurance,Mumbai +511 other locations,--,4k
Oyo Rooms,3.0,(3.9k),Hospitality,Gurugram +121 other locations,174,3.9k
PNB MetLife,3.3,(3.9k),Insurance,New Delhi +435 other locations,15,3.9k
Kyndryl,3.9,(3.9k),IT Services & Consulting,Bengaluru +39 other locations,486,3.9k
American Express,4.1,(3.9k),Financial Services,Gurugram +54 other locations,88,3.9k
Subros,3.7,(3.9k),Auto Components,Noida +88 other locations,4,3.9k
Aditya Birla Capital,3.8,(3.9k),NBFC,Mumbai +353 other locations,--,3.9k
ADP Private Limited,3.8,(3.9k),Software Product,Hyderabad +41 other locations,50,3.9k
KPIT Technologies,2.8,(3.9k),Software Product,Pune +43 other locations,28,3.9k
Escorts Kubota Limited,4.1,(3.9k),Industrial Machinery,Faridabad +159 other locations,1,3.9k
Viatris,4.1,(3.9k),Pharma,Hyderabad +80 other locations,20,3.9k
Maersk,3.9,(3.9k),Logistics,Chennai +50 other locations,52,3.9k
XpressBees,4.2,(3.9k),Logistics,Pune +481 other locations,5,3.9k
Altruist Technologies,4.4,(3.8k),BPO,Bengaluru +43 other locations,3,3.8k
PVR INOX,3.9,(3.8k),Media & Entertainment,New Delhi +152 other locations,42,3.8k
JK Cement,4.0,(3.8k),Building Material,New Delhi +332 other locations,2,3.8k
Birlasoft,3.4,(3.8k),IT Services & Consulting,Pune +50 other locations,527,3.8k
Reliance Communications,4.0,(3.8k),Telecom,Mumbai +466 other locations,--,3.8k
Synechron,3.4,(3.8k),IT Services & Consulting,Pune +33 other locations,190,3.8k
PhonePe,4.0,(3.8k),FinTech,Bengaluru +408 other locations,101,3.8k
Glenmark Pharmaceuticals,3.8,(3.8k),Pharma,Mumbai +191 other locations,429,3.8k
Kotak Mahindra Life Insurance Company,3.5,(3.8k),Insurance,Mumbai +259 other locations,282,3.8k
Blinkit,3.8,(3.7k),Internet,Gurugram +160 other locations,--,3.7k
Bharat Electronics,4.2,(3.7k),Electronics Manufacturing,Bengaluru +87 other locations,--,3.7k
Dabur,3.8,(3.7k),FMCG,New Delhi +322 other locations,40,3.7k
Sodexo,4.0,(3.7k),Hospitality,Mumbai +162 other locations,400,3.7k
Cogent E Services,3.1,(3.7k),BPO,Noida +57 other locations,3,3.7k
Godrej & Boyce Manufacturing,3.8,(3.7k),Consumer Electronics & Appliances,Mumbai +175 other locations,38,3.7k
Ipca Laboratories,3.8,(3.7k),Pharma,Mumbai +165 other locations,59,3.7k
Abbott,4.1,(3.7k),Pharma,Mumbai +215 other locations,219,3.7k
UNO Minda,4.0,(3.7k),Auto Components,Pune +112 other locations,48,3.7k
Aarti Industries,4.1,(3.7k),Agro Chemicals,Bharuch +60 other locations,91,3.7k
ArcelorMittal Nippon Steel India,4.1,(3.7k),Iron & Steel,Surat +90 other locations,9,3.7k
Samvardhana Motherson Group,3.7,(3.6k),Auto Components,Noida +94 other locations,35,3.6k
Reliance Projects & Property Management Services,4.0,(3.6k),Other,Kolkata +626 other locations,--,3.6k
Reliance Digital,4.1,(3.6k),Retail,Mumbai +386 other locations,1,3.6k
IGT Solutions,3.2,(3.6k),BPO,New Delhi +48 other locations,281,3.6k
MRF Tyres,3.6,(3.6k),Auto Components,Chennai +195 other locations,79,3.6k
Indian Oil Corporation,4.4,(3.6k),Oil & Gas,New Delhi +312 other locations,--,3.6k
"NTT DATA, Inc.",3.9,(3.6k),IT Services & Consulting,Bengaluru +38 other locations,147,3.6k
Alkem Laboratories,3.9,(3.5k),Pharma,Mumbai +201 other locations,13,3.5k
Johnson Controls,3.5,(3.5k),Industrial Automation,Pune +58 other locations,15,3.5k
[24]7.ai,3.4,(3.5k),Hospitality,Bengaluru +36 other locations,68,3.5k
Honda Motorcycle & Scooter,4.1,(3.5k),Automobile,Gurugram +301 other locations,--,3.5k
Vishal Mega Mart,3.7,(3.5k),Retail,New Delhi +381 other locations,4,3.5k
Hindustan Coca Cola Beverages,4.0,(3.5k),Beverage,Bengaluru +265 other locations,31,3.5k
Barclays,3.7,(3.5k),Banking,Pune +38 other locations,--,3.5k
UBS,3.8,(3.5k),Financial Services,Pune +19 other locations,1,3.5k
Bajaj General Insurance Limited,3.6,(3.5k),Insurance,Pune +309 other locations,232,3.5k
DTDC Express,3.7,(3.5k),Logistics,New Delhi +274 other locations,63,3.5k
IndusInd Nippon Life Insurance,3.4,(3.5k),Mumbai +494 other locations,,1,3.5k
ABB,4.0,(3.5k),Industrial Machinery,Bengaluru +109 other locations,784,3.5k
RSPL Group,4.0,(3.4k),FMCG,Kanpur +263 other locations,55,3.4k
TVS Credit Services Ltd,4.2,(3.4k),NBFC,Chennai +448 other locations,58,3.4k
Ceat Tyres,3.9,(3.4k),Auto Components,Nagpur +143 other locations,47,3.4k
AGS Health,3.9,(3.4k),Analytics & KPO,Chennai +64 other locations,42,3.4k
NatWest Group,3.9,(3.4k),Banking,Gurugram +29 other locations,81,3.4k
Ford Motor,4.2,(3.4k),Automobile,Chennai +130 other locations,5,3.4k
HARMAN,3.8,(3.4k),Consumer Electronics & Appliances,Bengaluru +42 other locations,216,3.4k
Alstom Transportation,3.7,(3.4k),Engineering & Construction,Bengaluru +80 other locations,250,3.4k
Niva Bupa Health Insurance Company,4.0,(3.3k),Insurance,New Delhi +324 other locations,261,3.3k
InterGlobe Aviation,3.4,(3.3k),Aviation,New Delhi +104 other locations,29,3.3k
Croma,3.8,(3.3k),Retail,Mumbai +192 other locations,40,3.3k
Conduent,3.4,(3.3k),BPO,Bengaluru +36 other locations,461,3.3k
Tata Technologies,3.4,(3.3k),Automobile,Pune +58 other locations,204,3.3k
Tata AIG,4.0,(3.3k),Insurance,Mumbai +263 other locations,69,3.3k
Indian Air Force,4.6,(3.3k),Defence & Aerospace,New Delhi +135 other locations,2,3.3k
GeBBS Healthcare Solutions,3.8,(3.3k),BPO,Mumbai +26 other locations,86,3.3k
Canara HSBC Life Insurance,4.1,(3.3k),Insurance,Gurugram +370 other locations,7,3.3k
Sagility,3.9,(3.3k),BPO,Bengaluru +29 other locations,73,3.3k
Tata AutoComp Systems,3.7,(3.3k),Auto Components,Pune +81 other locations,99,3.3k
Jindal Stainless,4.1,(3.2k),Iron & Steel,Jajpur +78 other locations,167,3.2k
UPL,4.1,(3.2k),Agro Chemicals,Ankleshwar +185 other locations,63,3.2k
PepsiCo,4.0,(3.2k),Food Processing,Hyderabad +280 other locations,250,3.2k
Max Healthcare,4.0,(3.2k),Healthcare,New Delhi +78 other locations,156,3.2k
Mankind Pharma,3.8,(3.2k),Pharma,New Delhi +247 other locations,11,3.2k
Allcargo Logistics,3.8,(3.2k),Logistics,Mumbai +175 other locations,20,3.2k
Titan Company,4.2,(3.2k),Retail,Bengaluru +186 other locations,117,3.2k
Amazon Transportation Services,4.2,(3.2k),Logistics,Hyderabad +226 other locations,--,3.2k
Dilip Buildcon,3.9,(3.2k),Engineering & Construction,Bhopal +230 other locations,11,3.2k
S&P Global,4.0,(3.2k),Analytics & KPO,Hyderabad +48 other locations,115,3.2k
Societe Generale Global Solution Centre,3.6,(3.2k),IT Services & Consulting,Bengaluru +24 other locations,40,3.2k
MSN Laboratories,3.6,(3.2k),Pharma,Hyderabad +107 other locations,34,3.2k
Varroc Group,3.6,(3.2k),Auto Components,Pune +63 other locations,30,3.2k
Walmart,3.5,(3.2k),Retail,Bengaluru +91 other locations,4,3.2k
Quest Global,3.5,(3.2k),IT Services & Consulting,Bengaluru +49 other locations,265,3.2k
Afcons Infrastructure,4.2,(3.1k),Engineering & Construction,Mumbai +125 other locations,37,3.1k
Marpu Foundation,4.9,(3.1k),Non-Profit,Hyderabad +61 other locations,--,3.1k
ESAF Small Finance Bank,3.6,(3.1k),Banking,Thrissur +459 other locations,61,3.1k
Ola Electric Mobility,3.3,(3.1k),Automobile,Bengaluru +445 other locations,--,3.1k
Torrent Pharmaceuticals,4.0,(3.1k),Pharma,Ahmedabad +133 other locations,38,3.1k
IDFC FIRST Bharat,4.2,(3.1k),Financial Services,Chennai +447 other locations,1,3.1k
Tata Electronics,3.8,(3.1k),Semiconductors,Hosur +61 other locations,138,3.1k
DS Group,4.0,(3.1k),FMCG,Noida +292 other locations,38,3.1k
Tata Elxsi,3.4,(3.1k),IT Services & Consulting,Bengaluru +31 other locations,56,3.1k
Bharat Financial Inclusion,3.7,(3.1k),Financial Services,Hyderabad +513 other locations,2,3.1k
HDFC Sales,3.9,(3k),Financial Services,Mumbai +354 other locations,36,3k
Square Yards,3.5,(3k),Internet,Gurugram +51 other locations,83,3k
Zensar Technologies,3.7,(3k),IT Services & Consulting,Pune +29 other locations,531,3k
Zepto,3.5,(3k),Internet,Bengaluru +108 other locations,47,3k
Future Group,4.2,(3k),Retail,Mumbai +207 other locations,--,3k
Suzlon Group,4.0,(3k),Power,Pune +147 other locations,36,3k
CMS IT Services,3.1,(3k),IT Services & Consulting,Mumbai +153 other locations,51,3k
Indus Towers,3.6,(3k),Telecom,Gurugram +245 other locations,46,3k
I Process Services,3.8,(3k),Recruitment,Mumbai +407 other locations,3,3k
Fujitsu,3.8,(3k),IT Services & Consulting,Pune +41 other locations,111,3k
Eternal Limited,3.6,(3k),Internet,Gurugram +220 other locations,18,3k
ACC,3.9,(3k),Building Material,Mumbai +277 other locations,13,3k
VVDN Technologies,3.6,(3k),IT Services & Consulting,Gurugram +51 other locations,18,3k
IKS Health,3.6,(3k),BPO,Mumbai +32 other locations,9,3k
Nokia,4.0,(3k),Telecom,Bengaluru +165 other locations,11,3k
Yazaki,3.9,(2.9k),Auto Components,Pune +94 other locations,28,2.9k
